region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F356W,F410M,F444W,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F356W_err,F410M_err,F444W_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F356W_n_eff,F410M_n_eff,F444W_n_eff
1,2282,6.234980205778167e-7,6.993481320890398e-7,8.055126005309037e-7,8.259546225981992e-7,8.70308130203044e-7,8.024581861166767e-7,3.1355883595628707e-6,2.278038363060757e-6,2.0255796322436096e-6,2.0903808886175133e-6,1.3052005827434851e-8,1.463981535494322e-8,1.6862210960121874e-8,1.7290134357376016e-8,1.821860922116006e-8,1.6798271326926332e-8,6.563888928392142e-8,4.768735265949136e-8,4.24025037633256e-8,4.3759021904367124e-8,2282,2282,2282,2282,2282,2282,2282,2282,2282,2282
2,1270,1.2557261954879098e-6,1.4605504036215687e-6,1.6961555614110818e-6,1.8021326860447298e-6,1.8586650751373472e-6,1.8331557754600177e-6,6.394172193104212e-6,4.270685426885482e-6,3.7507761719763535e-6,3.943823242478011e-6,3.5236526749241783e-8,4.098403262650006e-8,4.7595272779441066e-8,5.0569062607493764e-08,5.215539969882646e-8,5.1439591488673287e-08,1.7942479844026143e-7,1.1983832289456785e-7,1.0524931739829741e-7,1.1066634882444472e-7,1270,1270,1270,1270,1270,1270,1270,1270,1270,1270
3,1138,1.7052954499230865e-6,2.0382286082903123e-6,2.4019064962759147e-6,2.59886641126237e-6,2.682692204224924e-6,2.670903608182581e-6,9.262255710370584e-6,6.156274037663906e-6,5.447479059990752e-6,5.7117151436292145e-6,5.0550854621111645e-8,6.042014482998908e-8,7.120081515037391e-8,7.703938818422322e-8,7.95242745854275e-8,7.917481982980122e-8,2.745652912518018e-7,1.8249325294318255e-7,1.614821185534522e-7,1.693149898897724e-7,1138,1138,1138,1138,1138,1138,1138,1138,1138,1138
4,476,8.927348329896407e-7,1.1132500551681271e-6,1.3461518387563419e-6,1.4686173311322552e-6,1.5322181584066679e-6,1.5318173762003733e-6,5.305991612703358e-6,3.524032652397049e-6,3.1243000555180743e-6,3.337302064910534e-6,4.091843398231674e-8,5.1025732619459775e-8,6.170076836798508e-8,6.731396500792607e-8,7.022910414653631e-8,7.021073432422901e-8,2.431997268304732e-7,1.615237717965358e-7,1.432020582579288e-7,1.5296498935163163e-7,476,476,476,476,476,476,476,476,476,476
5,489,1.0415348275508888e-6,1.3205567294708747e-6,1.636808817268464e-6,1.8022285478439366e-6,1.8916661640193468e-6,1.9031743842986936e-6,6.680171729339656e-6,4.480202885879852e-6,4.017447006116177e-6,4.300574538127875e-6,4.7099832992237295e-8,5.971763955422252e-8,7.401905331850209e-8,8.149959211339416e-8,8.554410092256292e-8,8.60645206328377e-8,3.0208780780879837e-7,2.0260177779409925e-7,1.8167523354756992e-7,1.9447870312007802e-7,489,489,489,489,489,489,489,489,489,489
6,358,9.42025540393837e-7,1.2224281179122343e-6,1.5475908698146043e-6,1.7223392675074617e-6,1.8126835445989222e-6,1.8314632942565443e-6,6.447075887912709e-6,4.31028478621883e-6,3.858086059693285e-6,4.129001616827595e-6,4.97875968589534e-8,6.460733357422424e-8,8.179271901345006e-8,9.102845881350121e-8,9.580330222641194e-8,9.679584283701456e-8,3.407385484392297e-7,2.2780562955206603e-7,2.0390618422813835e-7,2.1822451633597342e-7,358,358,358,358,358,358,358,358,358,358
7,215,6.961760646834648e-7,9.104663040472618e-7,1.1780481091915225e-6,1.3240260866302183e-6,1.3924151720134788e-6,1.4027983929274643e-6,4.978467735058793e-6,3.3317278432735553e-6,3.0027455639814065e-6,3.272032866478886e-6,4.7478813538895326e-8,6.209328656388356e-8,8.034221420925127e-8,9.029782963930517e-8,9.496192655059983e-8,9.567005633948079e-8,3.3952868145464864e-7,2.272219529768734e-7,2.0478554775053937e-7,2.231507893499948e-7,215,215,215,215,215,215,215,215,215,215
8,169,6.314879963684093e-7,8.430516401064073e-7,1.1105097771536418e-6,1.2535806407849815e-6,1.3212028954963492e-6,1.3436524754716079e-6,4.705327529929557e-6,3.119765908738178e-6,2.804873462924593e-6,3.002916483898817e-6,4.857599972064687e-8,6.485012616203132e-8,8.54238290118186e-8,9.64292800603832e-8,1.0163099196125764e-7,1.0335788272858521e-7,3.619482715330428e-7,2.399819929798598e-7,2.1575949714804558e-7,2.3099357568452436e-7,169,169,169,169,169,169,169,169,169,169
9,194,8.309108502383262e-7,1.1073080009891778e-6,1.4892576074642144e-6,1.684031637606442e-6,1.7921257162115106e-6,1.8164377155825395e-6,6.500616650597904e-6,4.369987044347712e-6,3.9462343394864465e-6,4.36344897270908e-6,5.965592240126079e-8,7.950008134128786e-8,1.0692246495624657e-7,1.2090642535899352e-7,1.2866712792227113e-7,1.3041262775234508e-7,4.667170760343079e-7,3.137467851543255e-7,2.8332311398517755e-7,3.132773789668672e-7,194,194,194,194,194,194,194,194,194,194
10,102,5.292095719239895e-7,7.391031940338809e-7,1.0011241976965891e-6,1.1476775163479571e-6,1.2208620576651827e-6,1.247928819665617e-6,4.4581902027788084e-6,2.9911703658608373e-6,2.7090671110503327e-6,2.92709820513377e-6,5.2399555736027585e-8,7.318212115788594e-8,9.912606645637722e-8,1.1363700729415018e-7,1.2088335667106276e-7,1.2356336546016918e-7,4.4142660754041187e-7,2.961699988381748e-7,2.6823761437654045e-7,2.8982590958646357e-7,102,102,102,102,102,102,102,102,102,102
