"region_id","n_pix","area_arcsec2","sfr","surface_sfr"
1,326,0.130399999999997,0.000400152207744584,0.00306865189988184
2,179,0.0715999999999985,0.00321668306708387,0.0449257411603902
3,182,0.0727999999999985,0.0212971919719463,0.292543845768499
4,64,0.0255999999999995,0.0234532327675079,0.916141904980797
5,110,0.0439999999999991,0.0305893521589639,0.695212549067376
6,355,0.141999999999997,0.0274539333411322,0.193337558740371
7,124,0.049599999999999,0.0423076239348711,0.852976289009517
8,118,0.047199999999999,0.020989546320283,0.444693777972106
9,25,0.00999999999999979,0.00979672365596334,0.979672365596355
10,26,0.0103999999999998,0.00501975645747602,0.482668890141935
11,71,0.0283999999999994,0.0133503432067734,0.470082507280765
12,54,0.0215999999999995,0.0129919273210472,0.601478116715159
13,48,0.0191999999999996,0.0146854645853956,0.764867947156034
14,6,0.00239999999999995,0.00197602118313385,0.823342159639123
15,42,0.0167999999999996,0.0393575234749414,2.34270973065132
16,42,0.0167999999999996,0.0172720680909787,1.0280992911297
17,24,0.0095999999999998,0.0191682532841232,1.99669305042954
18,30,0.0119999999999997,0.0255357161043034,2.12797634202533
19,16,0.00639999999999987,0.00458368637786555,0.716200996541508
20,23,0.00919999999999981,0.0126609877137308,1.3761943167099
21,15,0.00599999999999987,0.00675686656833396,1.12614442805568
22,17,0.00679999999999986,0.00550830432097627,0.810044753084763
23,9,0.00359999999999992,0.0165334605607265,4.59262793353523
24,9,0.00359999999999992,0.0165334491629957,4.59262476749891
25,11,0.00439999999999991,0.000250045400735412,0.0568285001671404
26,7,0.00279999999999994,0.00178516734789562,0.637559767105591
27,8,0.00319999999999993,0.00321959582736115,1.00612369605038
28,4,0.00159999999999997,0.0019385725380589,1.21160783628684
29,2,0.000799999999999983,0.00226435368479673,2.83044210599597
30,2,0.000799999999999983,0.000235536772788752,0.294420965985946
31,3,0.00119999999999997,0.00247630695892392,2.06358913243664
32,5,0.00199999999999996,0.00135990410920559,0.679952054602809
33,1,0.000399999999999992,0.000615901190693657,1.53975297673418
34,14,0.00559999999999988,0.000199489668359173,0.0356231550641387
35,5,0.00199999999999996,0.00629617240911144,3.14808620455579
36,6,0.00239999999999995,0.0120484483047803,5.02018679365857
37,5,0.00199999999999996,0.00361870744415572,1.8093537220779
38,1,0.000399999999999992,1.46572735490381e-09,3.66431838725961e-06
39,16,0.00639999999999987,0.0314014798111387,4.90648122049053
40,1,0.000399999999999992,0.00054114654085961,1.35286635214905
