"method","n_regions","valid_pixels","mean_pixels_per_region","median_pixels_per_region","mean_cluster_snr","mean_avg_corr","median_avg_corr","mean_pixel_intravariance","median_pixel_intravariance","target_sn","mask_mode","systematic_factor"
"sagui",20,1905,95.25,45.5,39.7764734253467,0.991651812072136,0.997616782356485,0.148914775857787,0.0121458364840572,NA,"paperexact_starlet",NA
"pixedfit_r",21,2176,103.619047619048,12,34.0191845996289,0.995370848771612,0.995498310424356,0.0373881560068635,0.0102732540580707,392.918103,"pixlike_foreground",0.02
