tag,region,n_pix,photometry_mode,z_used,Z_mode,Z_fixed,Z_fit,logzsol,systematic_frac,convergence,objective,rms_sigma,logMformed,age_mw_gyr,sfr_recent,mSFR,mpeak,mperiod,tau_screen,Av
sagui11,1,6814,raw,1.1,free,NA,0.020401327443005143,0.008628430703893592,0.1,1,13.712774291902328,0.3372980094594841,10.864662371617682,3.6738656705972574,3.3094086831908687,145.01870727755036,8.5,0.5583491932805992,0.5569005122372878,0.6047939562896946
sagui11,2,3484,raw,1.1,free,NA,0.030571475651737078,0.18428640648832256,0.1,1,15.129880772309594,0.9555157490985619,10.787514202046847,2.175772807448925,10.94326458881752,18.247240543037282,2.861395518557384,1.3083232303785473,0.6558990259388079,0.7123063421695455
sagui11,3,1015,raw,1.1,free,NA,0.03169786384922227,0.19999999999999998,0.1,1,15.108786302264923,0.9535066798654126,10.672017250126697,2.740005270132851,6.5850074871776405,11.207162158126456,3.718469478912421,1.6465728562949564,0.6404764043008274,0.6955573750706986
sagui11,4,247,raw,1.1,free,NA,0.023117070952204135,0.06290281030075925,0.1,0,15.097642015870212,0.9817913730132487,10.387871458247051,2.325939797257732,5.5750689647890646,5.6145684759301195,0.6802287045787866,5,1.045130285148347,1.135011489671105
sagui11,5,143,raw,1.1,free,NA,0.02114252225951865,0.024126800838580004,0.1,0,13.275555828994735,0.26168625346543367,10.364581923675612,1.3784951919325161,2.7423213701612545,25.638396364831816,1.8430362413544408,0.2,1.1136719046523493,1.2094476884524514
sagui11,6,104,raw,1.1,free,NA,0.026384164520627255,0.12031335072385653,0.1,0,13.880142953549765,0.3605376120572562,10.436976374399825,1.6279627272903963,2.194212267876823,29.49742027977518,2.1328264308874614,0.2,1.0780849528665024,1.1708002588130217
sagui11,7,32,raw,1.1,free,NA,0.004047555973135131,-0.6938371323940635,0.1,0,14.26370761434403,0.43897111158796476,10.24348385796651,2.3630448694297517,0.4896566835165504,18.13995505503666,2.9424454982733526,0.2,1.520462668493,1.651222457983398
sagui11,8,54,raw,1.1,free,NA,0.030220898216141955,0.17927737249643366,0.1,0,13.561705285533325,0.31130707194986207,10.401715768532103,2.0547064156098025,1.0836365200928164,25.861602274718162,2.5911351863629863,0.2,0.8641245258557101,0.9384392350793013
sagui11,9,5,raw,1.1,free,NA,0.006312759540768628,-0.500810748726332,0.1,1,15.15424119408619,0.9578306292449881,9.761767193087598,2.815360473883579,0.797285876760032,1.3264770406344903,3.90353152372444,1.800146091768018,1.8372676553739722,1.995272673736134
sagui11,10,18,raw,1.1,free,NA,0.02018073247318005,0.00390692953161703,0.1,1,15.11442560028231,0.9540441894695575,10.16918585656247,1.5503120486189563,3.9515987687036485,5.743810797228809,1.9126614701680722,1.1466164201664706,1.7735115550275733,1.9260335487599447
sagui11,11,8,raw,1.1,free,NA,0.008738157492392696,-0.359610127702803,0.1,1,15.147808282513449,0.9572198775869858,10.152020351588336,2.8603724232121164,1.61922799397206,3.947511647236445,4.0232171151818745,1.0947990841894804,1.643082759850639,1.7843878771977941
sagui11,12,4,raw,1.1,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,1,15.191948731525128,0.9614028449257275,10.216876399824129,4.32696450755281,0.09545221373072602,13.16330729889766,5.134879121795129,0.2579217175513886,1.074466234105567,1.1668703302386458
sagui11,13,6,raw,1.1,free,NA,0.009621017153206474,-0.3178090067162964,0.1,1,15.140302429234346,0.9565067660249146,10.158661882365791,2.606939638346392,2.0228620275765885,3.834892727187204,3.5537006338500214,1.3244939154709374,1.9394871586764997,2.1062830543226787
sagui11,14,6,raw,1.1,free,NA,0.0020000000000000005,-0.9999999999999999,0.1,0,17.20146655249478,1.1229775597587357,10.393503033089074,4.585124653086652,0.03904073757704806,29.377847793440637,5.349859367485436,0.2,0.5387434759455805,0.5850754148769004
sagui11,15,19,raw,1.1,free,NA,0.030660404285717462,0.18554788146554982,0.1,0,13.75475277734331,0.357202000348353,10.19695556163302,1.737974217538121,1.0707377300002519,16.825614008740086,2.2574184819407566,0.2,1.4520368333430114,1.5769120010105104
sagui11,16,5,raw,1.1,free,NA,0.02193856215610517,0.04017816503451368,0.1,1,15.11204026914805,0.9538168686341154,9.789180113054394,1.458949393671502,1.4765947551923304,3.119173709008623,2.0137562942417415,0.6404787702229887,1.8336323271076587,1.9913247072389175
sagui11,17,8,raw,1.1,free,NA,0.03169786384922227,0.19999999999999998,0.1,0,14.17295701084331,0.4287157283016272,9.998560899942817,1.2084497740121518,1.566513337822461,11.323965524336154,1.63796866705069,0.2,2.2387692597742523,2.4313034161148384
sagui11,18,5,raw,1.1,free,NA,0.014554250248902818,-0.13804015766180772,0.1,1,15.134103203401505,0.9559173926034615,9.997873849713601,2.5174770729622815,1.475065320925338,2.679944019549581,3.3963306706812646,1.3491937111843113,1.6776286530089657,1.821904717167737
sagui11,19,7,raw,1.1,free,NA,0.005390515038293029,-0.5693997337049627,0.1,1,15.156214584684196,0.9580179082880793,10.399665880377414,2.391363970222525,3.9434203588906676,7.064404410616409,3.2116549572527764,1.3034043835139133,2.5,2.7150000000000003
sagui11,20,3,raw,1.1,free,NA,0.03169786384922227,0.19999999999999998,0.1,1,15.108774656305583,0.9535055695174566,9.7065113693127,1.7044727503836175,1.2580287254982887,1.770471262591277,2.056949597258267,1.3356323906691718,2.3012455662153846,2.499152684909908
