region_id,value
1,4.193560641229614e-10
2,5.877879425840978e-10
3,4.5464346862157283e-10
4,3.7222363368457587e-10
5,1.7424852545788078e-10
6,1.3978400251382819e-10
7,1.0984845916233987e-10
8,8.97205808850947e-11
9,7.710249740855716e-11
10,1.0245206508582114e-10
11,3.8294869786074974e-11
12,3.6289100298439096e-10
13,4.1170030366705097e-10
14,4.3457463639237017e-10
15,3.625933117462279e-10
16,2.063177035648348e-10
17,1.3954809515040112e-10
18,1.1731646963783262e-10
19,8.096489824512297e-11
20,4.3666954994568496e-11
