region_id,value
1,9.094121442156117e-10
2,3.218715481458436e-10
3,3.062236309071768e-10
4,3.072001069281602e-10
5,3.1668376998939314e-10
6,4.165269082900093e-10
7,4.903789574009205e-10
8,3.7138021642726643e-10
9,1.429449810861445e-10
10,7.296063842799573e-10
11,1.6798325841465375e-10
12,3.913977509614782e-10
13,2.951114919897099e-10
14,1.3646728982562567e-10
15,3.120116309978219e-10
16,3.577006859637769e-10
17,4.4541109660226935e-10
18,4.1835992402566046e-10
19,3.059407645522074e-10
20,4.4634007290375357e-10
