region,mass,logzsol,dust2,tage,tau,n_pix,sfr_10myr,sfr_100myr,ssfr_10myr,ssfr_100myr,age_mass_weighted,z_used,kpc_per_pixel,area_kpc2,sigma_sfr_10myr,sigma_sfr_100myr
1,394282513.5384585,-0.9342956998394828,2.581757331456378,0.718951698952756,6.7746153318355535,739,0.5202115381462312,0.5236832225271906,1.319387800076732e-09,1.328192868173217e-09,0.3531188520392131,0.42,0.11065684646091241,9.049008937150044,0.057488233436320396,0.05787188698391572
2,880231670.9240849,-1.9999998845933091,3.647423525089299,4.860201841071977,2.386442044840981,73,0.055461786092785,0.0565216187418547,6.30081692409001e-11,6.421220754590351e-11,1.657166214661411,0.42,0.11065684646091241,0.8938804498131979,0.06204608916592296,0.06323174285069834
3,30416569.85860614,-0.2314065838827868,2.949772953442982,0.0469207400707952,9.592920804359553,74,0.6470073648594304,0.3041656985860613,2.12715427106704e-08,1e-08,0.0234412452118535,0.42,0.11065684646091241,0.9061253874818718,0.7140373438354575,0.33567727247035833
4,905315383.5817608,-1.99999993684473,3.29498906698754,3.2093695413777423,7.02265406398989,70,0.2226793189917035,0.2241126669792649,2.4596877842802377e-10,2.4755203660915684e-10,1.4828839867490071,0.42,0.11065684646091241,0.857145636807176,0.25979169633432736,0.26146393023019193
5,858831129.5156548,-1.999999568481287,3.290980202436228,4.869491706534196,2.3896591372669382,31,0.0539692193073477,0.0549991232098368,6.284031569487258e-11,6.403950825682587e-11,1.6599514295718882,0.42,0.11065684646091241,0.37959306772889223,0.1421765145244772,0.14488969342590186
6,61337331.91869582,-0.1725415753622849,2.933727625210288,0.0471506711126589,5.274751178328574,119,1.2963021124978864,0.613373319186958,2.1133982714086223e-08,9.999999999999997e-09,0.0235402125278846,0.42,0.11065684646091241,1.4571475825721993,0.8896162118387598,0.4209411088643565
7,1015177545.2982932,-1.9999997964190204,3.597608778508401,2.81171138822601,3.0584691617045494,43,0.2205293936710508,0.2238079528841049,2.1723233999058947e-10,2.2046188267328417e-10,1.1934248871592643,0.42,0.11065684646091241,0.5265323197529795,0.41883353670390305,0.4250602374971084
8,1198133516.669458,-1.9999998404444692,4.04487082214835,4.983739330441916,2.420868786599018,41,0.0725545445571336,0.0739210306467343,6.055630991679375e-11,6.169682228089083e-11,1.691766125451711,0.42,0.11065684646091241,0.5020424444156317,0.14451874610240528,0.14724059981178889
9,393700823.0642682,-0.999494189299916,3.7860958255207953,1.1643302341963542,5.410251172786583,49,0.303334596448449,0.3058724273811258,7.704698051874082e-10,7.769158951724996e-10,0.5613001031128722,0.42,0.11065684646091241,0.6000019457650232,0.5055560212587094,0.5097857257631522
10,320971088.6866092,-0.6332378747348598,4.1138784315018135,0.431813422919645,0.5000033486983336,61,0.472686780523535,0.5180551954584831,1.4726771263347602e-09,1.6140244829474454e-09,0.1852093539988711,0.42,0.11065684646091241,0.7469411977891105,0.6328299763390374,0.6935689141151771
