region,mass,logzsol,dust2,tage,tau,sfr
1,330036018.5186552,-1.9999996731128238,0.8120704102132882,3.154564447497713,3.2499023134000056,0.06193373245103216
2,338095006.41514105,-0.06439052125574439,0.07883800289396697,2.680820133952809,9.999668883250015,0.10996540559651663
3,652813207.5897005,-0.21180811155637944,0.0295894730144762,6.417056651509673,9.999962531070507,0.07255740671012137
4,1585840838.3545065,-0.36820622626633054,1.0823190647259053e-08,9.707534545403773,5.844394689843046,0.06362751920934859
5,545358131.5396278,-0.37768744298370027,0.3152663493374868,4.668920136549594,9.99996189181247,0.0916522503545538
6,711086127.3698258,0.26363991695852323,1.3481601188922159e-08,4.409193218441493,6.921103076029958,0.1153205461935463
7,3261365875.629522,-0.3871379360020043,0.05331622826202807,9.746392969099062,2.4603158592782,0.025723143364632033
8,358633497.16635066,-0.31538442879396367,0.5131443791061948,5.825964920732351,9.99984510496033,0.045357270319219115
9,1032180886.3182875,0.25000010243441123,0.22111151124318756,7.00419429476675,9.878410347887337,0.10124459902816246
10,2293312105.674187,-0.40584487225884247,0.06569799448389635,9.746390802515998,1.8761832082861494,0.006816026713734822
11,18617781.488030825,0.2999999951909854,0.2609709674271842,0.08873341589631087,1.1163267518692328,0.20158862833805952
12,1070352267.2760766,-0.31599932477955767,0.392964188237087,9.746392815794444,3.0687100393106466,0.015196681648811328
13,1396965787.9842277,-0.35623994945057047,0.45845265190032336,9.746387190726724,4.062370389922703,0.03433911435089072
14,1871599041.36391,-0.4202667618092235,0.12788402409317914,9.746393166845557,1.397454167936683,0.0012541277256669296
15,2488372719.782276,-0.39736464836057966,0.01946094560572143,9.746387370171254,1.4472851509599398,0.002047521123814608
16,853072734.4212077,-0.7622441969985833,2.2921127316001597e-08,6.655150483935747,0.7664580180828916,0.0001886230834739345
17,1121016349.6336927,-0.34572446711549165,0.46274482226848984,9.746392586614181,2.2095390038238047,0.006236201756114014
18,1074504171.8055272,-0.17041142879688748,0.7061883680077011,9.746386356189122,4.51291465431658,0.03104955584688275
19,116296492.19873986,-0.8352044745128532,0.012945652934111826,4.998334405492119,0.5000000034608579,1.0595423479767001e-05
20,1148921811.1906266,0.2500000022604523,0.06911730521810001,7.115497164916212,2.2127376176991405,0.021706348575143412
21,900217091.5299424,0.2500000092433485,0.30114828101908087,7.357905676275367,2.6105410428690394,0.02189133462240673
22,1091788216.7784312,-0.882594558720875,0.2751461343193896,7.136981471473991,0.5000000010068709,1.3805919719939832e-06
23,949158974.3811573,0.24999999682057164,0.2709946690281624,7.120327449527622,2.3840309078913817,0.021155078726393963
24,2749155205.9625187,-0.5548799574974397,0.42410149220571286,8.881664508294616,0.5000000980753783,1.0609988640778394e-07
25,1245161850.2609553,-0.7849580741408049,0.6524562278742279,7.538225386251011,0.5000003094986049,7.057328478128888e-07
26,257488884.75953943,0.2500000100695383,0.35260341144178575,6.450811608134283,0.8370318767543274,0.00013842179176415243
27,580165736.6484747,0.25000000774381803,0.3702235848353699,8.79140158157509,1.5282063293944257,0.0012088142316658533
28,980591304.0143117,-0.7583616489380431,0.7777252763683953,8.432736248763206,0.5000006270368808,9.288488641245521e-08
29,1129324455.1393611,-0.6277407800364114,0.5118334699128452,9.746394081815936,0.5507692137855839,4.232413274998862e-08
30,518448342.4375212,0.24999995746746997,0.5684040009291342,9.235377223822455,1.2439530481685668,0.00024880795734815944
31,832245791.9254841,-0.6116004060893817,0.9144445417320837,9.182041247947545,0.5000005217070305,1.7614478242736314e-08
32,963789388.0676754,-0.3309772406104541,0.40742566837261207,9.746393840811354,0.5755132245568185,7.397609560048753e-08
33,298174139.2549638,0.24430927943914466,7.06750461642718e-08,8.507014605721107,0.6224687825215927,5.559503096033729e-07
34,333812487.8957173,-0.4630347743965726,0.7311767921786316,8.420814954738647,0.500000322596098,3.2382479497257424e-08
35,189444313.35278296,0.04415202830633465,4.6723806365689666e-08,9.071491597139335,0.5033478301961464,5.605608506563152e-09
36,156593548.3663341,-0.018329142096033698,6.875165216407282e-08,9.576813510186996,0.9629344211886823,7.797315503716259e-06
37,180004274.31700847,0.26939311999806437,3.6320418870246403e-07,9.541404541819345,0.7083219494304153,3.5885358330973876e-07
38,330054686.6594343,0.25000005879580733,0.014371369006621875,5.9561080898430605,0.5030001243969496,4.725717796913596e-06
39,3162283.3699474316,-0.5011496812268252,0.012167230545984006,0.13013424213804442,1.9804675452768103,0.02351053836136905
40,200513630.1178855,-1.2500286103595808,0.08346001662142466,9.572179183396132,0.5000000242387275,1.944845386770586e-09
