region,mass,logzsol,dust2,tage,tau,sfr
1,2631691028.544629,-1.9999998211818202,0.9087142233890352,1.7618060890185958,1.0137198382340549,0.5540368284651027
2,485643297.98117125,-0.5000000101963327,0.8658153443752138,0.15518887515665555,1.262494656829443,2.9409738670011545
3,305001053.7020464,-0.47847493361473503,0.9072486177433016,0.1515975403480222,2.8351289159760205,1.9586026594891748
4,124811426.55698974,-0.513762328600914,1.4384435302458092,0.062340052902379,2.9212761938979543,1.9808200185444078
5,1053145336.2681364,-0.393760441077278,0.6671085877560455,0.3258722234149614,0.5000000440342064,2.2922237730520645
6,369684206.77341455,-0.25000003214743305,0.1912783091892574,1.2931601407041646,9.164688655845545,0.26618179857231505
7,439602643.54150987,-0.25000001447310916,0.2438251810044739,1.2990931178127232,2.99106363697627,0.27020875235597674
8,1006725243.0100727,-0.3966518660992544,0.9285452395473448,0.424924922007978,0.5000012172169767,1.5033670766787954
9,125006984.69217126,-0.4064634346070715,4.1141298511128215e-10,1.1411857831320216,9.52125171752473,0.10310778383475526
10,1236845793.5023189,-0.4451092610562129,1.1595548794014243,0.5815879083062241,0.5000001282328518,1.1243645687088617
11,148307811.7071675,-0.48607086232184793,1.427195640391331,0.08427074958044879,1.2793896299144019,1.7025725366030122
12,1875433443.071975,-0.3797678956974113,1.1041458798457373,2.145539488903929,9.999617290883783,0.7836837044448627
13,4725538616.556263,-1.9999999962228874,1.9830484198290115,2.024749977704045,1.3013892323733947,0.9711414078690735
14,3186068110.2691393,-0.308796100942048,1.0132707714035607,3.6368079638169553,9.99999969478758,0.7263929873977086
15,2056724035.6429734,-0.4135972110922006,1.0779176952935487,5.443198974325754,9.999984774048903,0.2842992986871754
16,3410671798.290379,-0.44753006676534607,1.0667701763581094,5.489428849219669,4.127739372321495,0.29715726081760396
17,1304632452.4393127,-0.4562187516394018,1.2946459401602977,3.5755766944949134,9.99996896376002,0.3035205811260746
18,842980027.5326182,-0.44727541439765667,1.2210670626771314,5.489428992216057,2.824503462175425,0.0498820354662833
19,1792289616.1198993,-0.500018069305666,0.9723175757429822,5.4894280194266765,1.4935206804780357,0.031195729225483228
20,1912331572.0742989,-0.6012314472501771,0.7341603120701982,5.489429020470819,0.9686224253975745,0.006849451207235529
21,673878480.4160953,-0.15846169319300585,0.43807605510273334,5.489428835041232,1.6090109653590101,0.014286188619682429
22,1793124052.688413,-1.736209916099784,0.812107596157888,4.703608196688211,0.5000000233840795,0.00029456015698822616
23,204393874.96555573,-0.6348748846165964,2.0540150863686413,0.7133037535731038,0.50000165115066,0.12917770975720816
24,332422980.67717576,-0.49774313768992173,2.01356971311538,0.2837246424667779,4.583784766391859,1.1357527353124632
25,292298333.1075463,-0.38950290037105584,1.8289324194859236,0.046211249250029104,2.2476650167291687,6.2604637489469805
26,161041774.5273707,-0.37686864585226887,1.947973190914221,0.04668226152579205,5.764062580388741,3.435791737051728
27,172694196.1107595,-0.27756412438610856,1.9092702197914793,0.04441505908211156,9.464241525958753,3.879073796163783
28,246159113.34051716,-0.4499593716371908,2.043434137380991,0.14158115723873885,0.5000003846742507,1.5040859064880656
29,2403653923.026186,-1.9999993538619134,2.4116869341851865,2.6051824087880826,2.938826264714921,0.5733385182706937
30,1821642406.0941014,-1.9217101603721556,2.355595641397705,1.5273698406212357,0.5000000427657988,0.1802209348567902
31,946869046.4311326,-1.9999998822650393,2.1914033511882423,2.7486338238938943,1.3878609983908,0.10922589320489498
32,1016776986.8884753,-1.999999693088792,1.6277245217719154,4.658247846892717,0.8330808822584512,0.004568396873566045
33,1611984811.357893,-1.999999978880656,2.484545742364668,1.4224254123297373,0.8414274731041362,0.4332231358836427
34,1181764740.372473,-1.9518831239586616,1.4386882355019068,3.809528222025272,0.5000000137098694,0.0011610748681203955
35,840797215.7713451,-1.9999990829498573,2.7060144124314394,1.1933011655610706,1.4371360719488924,0.4520969514068677
36,1308563131.165925,-1.999999853602245,2.2202661753151807,1.9874836608913287,0.5974517750331199,0.08159283755239385
37,1151987215.9151528,-1.9311795272977574,1.9066418327106622,1.9101583716464043,0.5000000935192255,0.05163704870945937
38,735950793.3502507,-1.4596192637690961,0.8305985007943798,5.32404272167233,0.5000006348193955,3.495341840236186e-05
39,923760058.6803803,-0.32510725763590875,0.3668210986400624,4.665070772603566,0.500000017630115,0.0001639075063196484
40,686085989.3196241,-1.999999839533595,2.3964700031467,1.8173548007498577,0.6068825825701162,0.05957304527089069
