region,mass,logzsol,dust2,tage,tau,n_pix,sfr_10myr,sfr_100myr,ssfr_10myr,ssfr_100myr,age_mass_weighted,z_used,kpc_per_pixel,area_kpc2,sigma_sfr_10myr,sigma_sfr_100myr
1,68267483.79948302,-1.3797088430183369,1.915870916039884,0.9373050419423954,0.5000002642891475,307,0.0249914152553115,0.027390103763684,3.6608080251964456e-10,4.0121742064106184e-10,0.3301454107517012,0.36,0.10060794355601584,3.107441200117134,0.008042441882526837,0.008814359468057364
2,134549025.48045757,-0.914334317310478,0.3430074433350826,9.746368225019816,9.565003078774344,87,0.0079500843337883,0.0079876108394307,5.908689643347204e-11,5.936580224871933e-11,4.059562670854506,0.36,0.10060794355601584,0.8806103726716308,0.009027924926286093,0.009070539125263274
3,170223892.96508002,-0.5356351675578822,0.2361537487690805,4.230226291562702,9.99997096878237,127,0.0323431446177489,0.0324891511772079,1.9000355387468367e-10,1.9086128634053023e-10,1.9664321322917933,0.36,0.10060794355601584,1.2854887049344497,0.025160193546312146,0.025273774131577924
4,192959613.23707625,-0.4175213787264958,0.44358487711922,1.8723658607361189,8.328615834239605,176,0.091961312983858,0.0924600799223688,4.76583215736816e-10,4.791680412873211e-10,0.901135045279622,0.36,0.10060794355601584,1.7814646619564025,0.05162118280969222,0.05190115857859861
5,483587677.4643873,-0.6701149499718232,0.2687966320454406,5.769682883867758,9.999979962545131,209,0.0619791812556747,0.0622589734328393,1.2816534445346582e-10,1.287439203564576e-10,2.60895758846913,0.36,0.10060794355601584,2.115489286073228,0.029297799645547,0.029430058494129475
6,259028108.2938939,-0.4859348299845811,0.190280709401212,3.201902901217495,9.999999443916954,146,0.0686710752445836,0.068981075985343,2.6511051521354293e-10,2.6630729938805287e-10,1.5156622211546849,0.36,0.10060794355601584,1.4778059127592884,0.046468263965979306,0.04667803490956728
7,260487092.03593057,-0.5873904938559326,0.1965099680099364,3.6466434687304,9.999999709764255,108,0.0592271063902462,0.0594944743657599,2.2737059993005983e-10,2.2839701537899422e-10,1.7127498248636115,0.36,0.10060794355601584,1.0931714971096107,0.05417915354255489,0.054423733625570805
8,449391379.621562,-0.5259826066021137,0.2770336520929742,5.315241540076436,9.99998139222166,149,0.0640913339787873,0.0643806609904621,1.4261807610274911e-10,1.432618957770794e-10,2.4232898890715355,0.36,0.10060794355601584,1.508171787679,0.04249604355576802,0.04268788311545111
9,37606969.40201216,-0.4388762647757254,0.532714339853441,0.8103249201553093,0.500000590200039,25,0.0187288420353753,0.0205264443924271,4.980151906197797e-10,5.458149039610958e-10,0.3002343369834922,0.36,0.10060794355601584,0.2530489576642617,0.07401272152333543,0.08111649453881968
10,41838453.41414155,-0.4999999288023676,0.1511752261406879,0.8606306864661647,3.493654790894832,26,0.0429329418232931,0.0434909858909591,1.026159867773259e-09,1.0394979341243764e-09,0.4126657953280588,0.36,0.10060794355601584,0.2631709159708322,0.16313710679204177,0.165257569327225
