mass,logzsol,dust2,tage,tau
1155420663.6299877,-0.8327453701846411,0.4883452607285486,5.2276585557825825,9.999999852524876
4188546362.989002,-0.29963367334817687,0.05339080289939905,9.746377259645051,7.276128319604401
1126921284.465073,-0.3572139163266531,0.28512542875164765,6.259691702704107,9.999922635892876
4456850687.312218,-0.3585897807563314,0.04338881360275068,9.746376546524873,2.6046330018519717
2058568558.676291,-0.4107241915933757,0.4716572129160903,9.74635756706973,6.37630560342479
2656883824.6147323,-0.31965589388861243,0.6159163397744116,9.746384818770265,4.918072229337644
2948841687.65996,-0.42600923392552975,3.650183600710326e-08,6.157836813237611,0.8048385935345581
2074864504.6797523,-0.31342681550687734,0.7086297958214848,9.7463740727195,4.167794971971277
4686537038.580498,-0.3468618666360493,0.30121772115807205,9.746390791998122,2.0580574446283455
2455496125.1366034,-0.4112163405152135,0.09365963778371082,9.746385789062293,1.1999609399401274
3185373075.7471523,-0.3087544705062041,0.6598625383386543,9.746392737471405,2.160592146553056
928171893.0659428,0.2999999782774892,0.6906240319665203,6.369092216180237,5.7379070869308215
1598536141.8339577,-0.9454787821205495,0.37129468552716577,7.958468258948564,0.5000005116725207
4539325051.507789,-0.34865304033254924,0.44434351607721545,9.746389214768172,1.4115534959911196
3655553035.4337134,-0.7090642726528961,0.7374082699536899,9.746394096244988,0.8701064869284835
1960372760.9928153,-0.2972788775275778,0.5389402334149753,8.20685285522158,0.5000003044706269
2007619622.4259295,-0.04399087416037753,0.4042928724233486,8.31787673046232,0.5000000722112644
1341738995.9345684,-0.6889798127071224,1.0772736352127978,7.805312487048599,0.5000004061798609
724192823.2414051,0.2500000677753047,0.7192105639351009,9.029469812806967,0.9505379300160166
2293769454.1359444,-0.42291604785656367,0.9926651072974724,7.928471949002604,0.500000012647929
368859241.9696479,0.25000000301116193,0.024726191891498037,5.696210311944618,0.5047840887876069
373393149.72361887,0.29999999307947106,0.026340129589526133,5.6537732936475775,0.5146673080276153
145747527.7612861,0.24193806135622578,0.014499009250957245,5.669310786313077,0.5000000483149607
686730961.2093018,-0.976660499260106,1.217254222934338,7.709008112742379,0.5000002029412576
217004265.0310426,-1.5165393270883094,0.4977266164782933,7.4619319490572265,0.5000001443368668
