region,mass,logzsol,dust2,tage,tau,sfr,sfr_100myr,age_mass_weighted
1,159943557038.82562,0.299999998672046,2.0020101781679487,3.0595360122979183,1.6729457207747014,18.346941241615994,18.849924617586556,1.0875686598929122
2,446067080607.57135,0.2999997366970096,2.521327755062177,4.89678466343022,1.680358670194015,15.27300275143394,15.689831480537501,1.3994634523445018
3,159279025746.86282,-0.658713126662484,4.22374874986099,5.452517459809382,2.433042418927012,7.806699684415094,7.952985099851989,1.7841647479696587
4,54801721020.05027,-0.16626270556784734,1.3860936952588006,2.4467702793511896,0.5000001465592698,0.835996463245984,0.9162358411268889,0.48152348988353144
5,197563300075.3891,-1.0545869342260026,4.699595118299361,4.775080368001549,0.5000002702265995,0.028414319848493796,0.03114154041344496,0.4996603071610814
6,302141765045.0756,-0.9809981755056556,4.69011962474737,4.274764147274815,0.5000006019017099,0.11821321405190495,0.12955936917002706,0.49917268305103346
7,379821005713.0814,-0.9997407232561965,4.701430779055919,4.468408801086474,0.5000001485243966,0.10088037919192756,0.11056293072022678,0.4994126583916679
8,198331374224.8432,-0.9274996738445307,4.867684425369357,4.7961293135541965,0.5000005772614008,0.02734894364525703,0.029973907154590303,0.4996731910779943
9,153991700407.7957,-0.32497489139557034,3.9545651242804456,5.452517491195595,0.9333635469626499,0.4830355119327887,0.5071345517112094,0.9174853542300986
10,17500246335.25634,-0.500000023369559,4.66900603724432,0.09734354490183413,3.184455634330815,177.32270152356787,175.0024633525634,0.04842380704089422
11,158964267875.1668,-0.7499999512263387,4.726950992554322,4.770031907015531,1.53967501915693,4.896234530277831,5.042325547587731,1.3141981801236369
12,75938992438.95152,-1.0000010545021438,3.141566280272324,4.942367289531277,1.229921098191762,1.1351335731593246,1.1777557461005763,1.1394254548027989
